time,close,high,low,open,volumefrom,volumeto
2020-05-24 06:00:00,9274.81,9297.0,9204.99,9205.0,3337.89,30953099.76
2020-05-24 07:00:00,9255.53,9290.38,9241.37,9274.81,1573.65,14591168.67
2020-05-24 08:00:00,9258.54,9272.42,9239.0,9255.53,1307.96,12106397.05
2020-05-24 09:00:00,9270.73,9298.0,9252.85,9258.54,1640.35,15223678.92
2020-05-24 10:00:00,9263.4,9289.0,9251.06,9270.73,1261.21,11693556.35
2020-05-24 11:00:00,9119.0,9264.87,9100.0,9263.4,5413.43,49677521.96
2020-05-24 12:00:00,9159.9,9179.31,9090.78,9119.0,3262.57,29822376.78
2020-05-24 13:00:00,9087.49,9160.2,9040.01,9159.9,3861.34,35127175.64
2020-05-24 14:00:00,9070.05,9092.93,9000.0,9087.49,4630.42,41912627.55
2020-05-24 15:00:00,9055.74,9092.0,9022.17,9070.05,2071.98,18784140.68
2020-05-24 16:00:00,8939.12,9055.74,8853.21,9055.74,10578.66,94550716.64
2020-05-24 17:00:00,8947.84,8989.83,8924.68,8939.12,3837.21,34351267.99
2020-05-24 18:00:00,8941.99,8982.14,8890.41,8947.84,2350.06,21018117.99
2020-05-24 19:00:00,9018.45,9040.0,8937.0,8941.99,3038.77,27357274.39
2020-05-24 20:00:00,9000.31,9040.0,8983.05,9018.45,2110.61,19022836.37
2020-05-24 21:00:00,9054.22,9080.99,9000.0,9000.31,1741.18,15750045.49
2020-05-24 22:00:00,9043.1,9063.74,9015.0,9054.22,1848.81,16708192.85
2020-05-24 23:00:00,8720.34,9055.63,8700.0,9043.1,9621.56,84786545.02
2020-05-25 00:00:00,8811.37,8822.9,8642.72,8720.34,6190.14,54198083.18
2020-05-25 01:00:00,8791.69,8811.37,8765.0,8811.37,2217.93,19485165.03
2020-05-25 02:00:00,8790.96,8817.27,8768.0,8791.69,1706.21,15001573.71
2020-05-25 03:00:00,8786.57,8797.6,8741.53,8790.96,2239.45,19647636.85
2020-05-25 04:00:00,8806.0,8815.2,8770.25,8786.57,1701.16,14962179.42
