time,high,low,open,volumefrom,volumeto,close
2017-07-09 21:00:00,2510.4,2489.14,2510.0,1.8,4505.45,2510.02
2017-07-09 20:00:00,2480.38,2473.57,2488.45,188.31,467079.75,2480.38
2017-07-09 19:00:00,2511.44,2472.7,2490.8,199.99,497665.16,2488.45
2017-07-09 18:00:00,2515.02,2497.4,2505.02,1.752,4392.96,2506.09
2017-07-09 17:00:00,2515.02,2486.72,2497.68,2.521,6318.8,2505.02
2017-07-09 16:00:00,2516.2,2476.2,2505.03,5.907,14677.06,2497.68
2017-07-09 15:00:00,2507.91,2481.76,2481.76,13.24,33167.99,2505.03
2017-07-09 14:00:00,2506.36,2474.73,2499.5,3.884,9672.2,2481.76
2017-07-09 13:00:00,2515.68,2495.66,2515.01,3.336,8397.22,2499.5
2017-07-09 12:00:00,2519.68,2498.5,2509.01,1.734,4351.06,2515.01
2017-07-09 11:00:00,2519.46,2498.99,2508.99,1.602,4024.47,2509.01
2017-07-09 10:00:00,2518.99,2498.64,2508.07,2.332,5857.67,2508.99
2017-07-09 09:00:00,2520.21,2497.17,2499.54,2.654,6720.2,2508.07
2017-07-09 08:00:00,2530.01,2499.54,2530.0,2.689,6762.05,2499.54
2017-07-09 07:00:00,2530.39,2509.76,2529.99,1.599,4033.88,2530.0
2017-07-09 06:00:00,2529.99,2509.83,2519.19,1.696,4279.49,2529.99
2017-07-09 05:00:00,2530.74,2509.85,2528.89,1.77,4459.06,2519.19
2017-07-09 04:00:00,2529.99,2508.21,2528.99,2.717,6856.62,2528.89
2017-07-09 03:00:00,2536.23,2482.97,2497.4,138.76,350423.43,2525.39
2017-07-09 02:00:00,2526.16,2496.7,2523.79,2.774,6972.21,2518.91
2017-07-09 01:00:00,2529.98,2501.92,2513.19,1.529,3848.77,2523.79
2017-07-09 00:00:00,2529.93,2502.59,2517.46,2.405,6063.64,2513.19
2017-07-08 23:00:00,2513.24,2456.12,2514.28,39.31,97979.02,2492.47
2017-07-08 22:00:00,2530.36,2508.52,2521.64,1.712,4306.86,2513.87
2017-07-08 21:00:00,2521.64,2491.61,2503.06,15.31,38409.25,2521.64
2017-07-08 20:00:00,2508.89,2491.65,2507.92,11.55,28968.89,2503.06
2017-07-08 19:00:00,2508.99,2483.24,2497.72,20.54,51436.04,2507.92
2017-07-08 18:00:00,2502.43,2483.31,2493.58,3.365,8398.13,2497.72
2017-07-08 17:00:00,2508.96,2482.97,2492.13,2.113,5274.53,2493.58
2017-07-08 16:00:00,2527.82,2491.56,2473.43,76.72,192336.48,2506.99
